Filename, # of times changed, Code Churn
hibernate-core/src/test/java/org/hibernate/test/hql/CriteriaHQLAlignmentTest.java, 3, 1923
hibernate-core/src/test/java/org/hibernate/test/connections/ConnectionManagementTestCase.java, 3, 473
hibernate-core/src/test/java/org/hibernate/jpa/test/query/QueryTest.java, 3, 3028
hibernate-core/src/test/java/org/hibernate/dialect/SQLServer2005DialectTestCase.java, 3, 911
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/JavaTypeDescriptorRegistry.java, 3, 344
hibernate-core/src/main/java/org/hibernate/resource/transaction/backend/jta/internal/JtaTransactionCoordinatorImpl.java, 3, 544
hibernate-core/src/main/java/org/hibernate/resource/transaction/backend/jdbc/internal/JdbcResourceLocalTransactionCoordinatorImpl.java, 3, 425
hibernate-core/src/main/java/org/hibernate/resource/jdbc/spi/JdbcSessionOwner.java, 3, 140
hibernate-core/src/main/java/org/hibernate/query/spi/QueryParameterBinding.java, 3, 77
hibernate-core/src/main/java/org/hibernate/query/procedure/internal/StoredProcedureQueryImpl.java, 3, 1264
hibernate-core/src/main/java/org/hibernate/query/internal/ScrollableResultsIterator.java, 3, 63
hibernate-core/src/main/java/org/hibernate/query/internal/QueryParameterListBindingImpl.java, 3, 101
hibernate-core/src/main/java/org/hibernate/query/internal/QueryImpl.java, 3, 69
hibernate-core/src/main/java/org/hibernate/query/internal/BindingTypeHelper.java, 3, 164
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/compile/CriteriaQueryTypeQueryAdapter.java, 3, 896
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/CriteriaQueryImpl.java, 3, 430
hibernate-core/src/main/java/org/hibernate/query/QueryProducer.java, 3, 166
hibernate-core/src/main/java/org/hibernate/query/NativeQuery.java, 3, 255
hibernate-core/src/main/java/org/hibernate/property/access/spi/GetterFieldImpl.java, 3, 154
hibernate-core/src/main/java/org/hibernate/metamodel/internal/MetadataContext.java, 3, 598
hibernate-core/src/main/java/org/hibernate/metamodel/internal/AttributeFactory.java, 3, 1089
hibernate-core/src/main/java/org/hibernate/loader/hql/QueryLoader.java, 3, 999
hibernate-core/src/main/java/org/hibernate/loader/custom/CustomLoader.java, 3, 1537
hibernate-core/src/main/java/org/hibernate/loader/criteria/CriteriaLoader.java, 3, 747
hibernate-core/src/main/java/org/hibernate/loader/JoinWalker.java, 3, 1671
hibernate-core/src/main/java/org/hibernate/jpa/spi/HibernateEntityManagerFactoryAware.java, 3, 29
hibernate-core/src/main/java/org/hibernate/jpa/internal/AfterCompletionActionLegacyJpaImpl.java, 3, 44
hibernate-core/src/main/java/org/hibernate/jpa/boot/spi/Bootstrap.java, 3, 113
hibernate-core/src/main/java/org/hibernate/jpa/HibernatePersistenceProvider.java, 3, 223
hibernate-core/src/main/java/org/hibernate/jpa/HibernateEntityManagerFactory.java, 3, 200
hibernate-core/src/main/java/org/hibernate/internal/SharedSessionCreationOptions.java, 3, 38
hibernate-core/src/main/java/org/hibernate/internal/SessionCreationOptions.java, 3, 115
hibernate-core/src/main/java/org/hibernate/internal/CoordinatingEntityNameResolver.java, 3, 48
hibernate-core/src/main/java/org/hibernate/internal/AbstractSessionImpl.java, 3, 1560
hibernate-core/src/main/java/org/hibernate/hql/spi/QueryTranslator.java, 3, 245
hibernate-core/src/main/java/org/hibernate/hql/internal/classic/QueryTranslatorImpl.java, 3, 1793
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/QueryTranslatorImpl.java, 3, 945
hibernate-core/src/main/java/org/hibernate/graph/spi/EntityGraphImplementor.java, 3, 37
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultRefreshEventListener.java, 3, 507
hibernate-core/src/main/java/org/hibernate/engine/transaction/spi/TransactionImplementor.java, 3, 191
hibernate-core/src/main/java/org/hibernate/engine/query/spi/ParameterParser.java, 3, 418
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/JdbcCoordinatorImpl.java, 3, 1420
hibernate-core/src/main/java/org/hibernate/dialect/PostgreSQL93Dialect.java, 3, 43
hibernate-core/src/main/java/org/hibernate/boot/spi/SessionFactoryBuilderImplementor.java, 3, 84
hibernate-core/src/main/java/org/hibernate/boot/internal/SessionFactoryOptionsImpl.java, 3, 692
hibernate-core/src/main/java/org/hibernate/SharedSessionContract.java, 3, 353
hibernate-core/src/main/java/org/hibernate/SessionBuilder.java, 3, 313
hibernate-core/src/main/java/org/hibernate/Metamodel.java, 3, 50
documentation/src/main/docbook/manual-old/en-US/content/bootstrap.xml, 3, 2768
documentation/src/main/asciidoc/userguide/chapters/envers/Envers.adoc, 3, 2466
documentation/src/main/asciidoc/userguide/chapters/domain/basic_types.adoc, 3, 3140
hibernate-testing/src/main/java/org/hibernate/testing/junit4/BaseCoreFunctionalTestCase.java, 2, 2468
hibernate-testing/src/main/java/org/hibernate/testing/cache/ReadWriteNaturalIdRegionAccessStrategy.java, 2, 465
hibernate-testing/src/main/java/org/hibernate/testing/cache/ReadWriteEntityRegionAccessStrategy.java, 2, 476
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseNaturalIdRegionAccessStrategy.java, 2, 336
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseGeneralDataRegion.java, 2, 327
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseEntityRegionAccessStrategy.java, 2, 354
hibernate-testing/src/main/java/org/hibernate/testing/DialectChecks.java, 2, 662
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiPersistenceProvider.java, 2, 338
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/ReadWriteNaturalIdRegionAccessStrategy.java, 2, 173
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/ReadWriteEntityRegionAccessStrategy.java, 2, 174
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/NonStrictEntityRegionAccessStrategy.java, 2, 72
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/NonStrictCollectionRegionAccessStrategy.java, 2, 48
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/access/JCacheRegionAccessStrategy.java, 2, 103
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheTransactionalDataRegion.java, 2, 96
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheRegionFactory.java, 2, 305
hibernate-jcache/src/main/java/org/hibernate/cache/jcache/JCacheMessageLogger.java, 2, 48
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/util/BatchModeTransactionCoordinator.java, 2, 404
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/VersionedTest.java, 2, 441
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/entity/EntityRegionAccessStrategyTest.java, 2, 651
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/collection/CollectionRegionAccessStrategyTest.java, 2, 550
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/access/PutFromLoadValidatorUnitTest.java, 2, 1129
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/query/QueryResultsRegionImpl.java, 2, 665
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/TxInvalidationCacheAccessDelegate.java, 2, 162
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/InvalidationCacheAccessDelegate.java, 2, 243
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/access/AccessDelegate.java, 2, 209
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/onetomany/relatedid/AuditRelatedIdInTest.java, 2, 154
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/basic/RegisterUserEventListenersTest.java, 2, 146
hibernate-envers/src/test/java/org/hibernate/envers/test/BaseEnversJPAFunctionalTestCase.java, 2, 635
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/RevisionsOfEntityQuery.java, 2, 417
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/EntitiesModifiedAtRevisionQuery.java, 2, 222
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/EntitiesAtRevisionQuery.java, 2, 346
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/AuditAssociationQueryImpl.java, 2, 565
hibernate-envers/src/main/java/org/hibernate/envers/query/internal/impl/AbstractAuditQuery.java, 2, 760
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/SimpleAuditExpression.java, 2, 222
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/RelatedAuditInExpression.java, 2, 73
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/RelatedAuditEqualityExpression.java, 2, 65
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/internal/IlikeAuditExpression.java, 2, 70
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/AuditRelatedId.java, 2, 139
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/AuditDisjunction.java, 2, 163
hibernate-envers/src/main/java/org/hibernate/envers/query/criteria/AuditConjunction.java, 2, 161
