File,post_release_bugs
hibernate-core/src/main/java/org/hibernate/resource/transaction/backend/jta/internal/DdlTransactionIsolatorJtaImpl.java,2
hibernate-core/src/test/java/org/hibernate/test/batchfetch/BatchFetchNotFoundIgnoreDynamicStyleTest.java,1
hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/TransactionalEhcacheCollectionRegionAccessStrategy.java,1
hibernate-core/src/main/java/org/hibernate/cfg/CopyIdentifierComponentSecondPass.java,1
hibernate-core/src/main/java/org/hibernate/action/spi/AfterTransactionCompletionProcess.java,1
hibernate-core/src/test/java/org/hibernate/jpa/test/refresh/RefreshDetachedInstanceWhenIsAllowedTest.java,1
hibernate-core/src/main/java/org/hibernate/boot/internal/SessionFactoryOptionsImpl.java,5
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/id/SingleIdMapper.java,1
hibernate-core/src/test/java/org/hibernate/query/hhh12076/HbmMappingJoinClassTest.java,1
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/BooleanTypeDescriptor.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/query/ids/MultipleIdRelatedIdQueryTest.java,1
hibernate-core/src/test/java/org/hibernate/test/resource/transaction/SynchronizationRegistryStandardImplTests.java,1
hibernate-core/src/main/java/org/hibernate/proxy/ProxyConfiguration.java,1
hibernate-core/src/main/java/org/hibernate/mapping/Component.java,1
hibernate-core/src/main/java/org/hibernate/action/spi/Executable.java,1
hibernate-core/src/main/java/org/hibernate/cache/internal/SimpleCacheKeysFactory.java,2
hibernate-core/src/test/java/org/hibernate/query/hhh12076/Extension.java,1
hibernate-core/src/main/java/org/hibernate/boot/model/naming/Identifier.java,2
hibernate-core/src/main/java/org/hibernate/cache/internal/NaturalIdCacheKey.java,1
hibernate-core/src/main/java/org/hibernate/engine/spi/NamedSQLQueryDefinition.java,1
hibernate-core/src/main/java/org/hibernate/cfg/ColumnsBuilder.java,1
hibernate-core/src/test/java/org/hibernate/test/batchfetch/BatchFetchNotFoundIgnoreDefaultStyleTest.java,1
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/tm/XaTransactionImpl.java,1
hibernate-core/src/test/java/org/hibernate/test/insertordering/InsertOrderingWithBidirectionalOneToOneFlushProblem.java,1
hibernate-core/src/test/java/org/hibernate/test/collection/delayedOperation/DetachedBagDelayedOperationTest.java,2
hibernate-core/src/test/java/org/hibernate/serialization/entity/PK.java,1
hibernate-spatial/src/test/java/org/hibernate/spatial/testing/DataSourceUtils.java,1
hibernate-core/src/test/java/org/hibernate/jpa/test/lock/QueryLockingTest.java,1
hibernate-core/src/test/java/org/hibernate/test/distinct/SelectDistinctHqlTest.java,1
