id,TryStartLine,TryEndLine,TryLOC,CatchStartLine,CatchEndLine,CatchLOC,CatchStart,CatchLength,MethodStartLine,MethodEndLine,MethodLOC,Binded,RecoveredBinding,Kind,Checked,ParentNodeType,RecoverFlag,InnerCatch,ParentTryStartLine,Logged,MultiLog,Abort,Default,GetCause,OtherInvocation,NumThrown,NumThrowNew,NumThrowWrapCurrentException,Return,Continue,EmptyBlock,CatchException,FinallyThrowing,NumDistinctMethods,NumMethodsNotBinded,NumDistinctExceptions,NumSpecificHandler,NumSubsumptionHandler,NumSupersumptionHandler,NumOtherHandler,MaxLevel,NumIsBindingInfo,NumIsDocSemantic,NumIsDocSyntax,NumIsThrow,ToDo,ExceptionType,ParentMethod,ParentType,Filename,StartLine
2175,41,44,1,44,49,1,1948,134,40,50,6,1,1,-9,0,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,"Exception","instantiateExplicitCommandExtractor(String,ClassLoaderService)","org.hibernate.tool.hbm2ddl.ImportSqlCommandExtractorInitiator","hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\ImportSqlCommandExtractorInitiator.java",44
2176,26,30,2,30,33,1,1087,85,23,36,11,1,1,-9,0,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,"Exception","extractCommands(Reader)","org.hibernate.tool.hbm2ddl.MultipleLinesSqlCommandExtractor","hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\MultipleLinesSqlCommandExtractor.java",30
2177,352,356,2,356,360,2,9903,63,351,361,8,1,1,-9,0,31,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,70,5,0,0,0,5,48,1,0,1,3,0,"Exception","main(String[])","org.hibernate.tool.hbm2ddl.SchemaExport","hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\SchemaExport.java",356
2178,185,188,1,191,194,1,5510,86,184,195,9,1,1,-9,0,31,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,1,0,10,0,0,0,10,47,1,0,3,8,0,"Exception","execute()","org.hibernate.tool.hbm2ddl.SchemaExportTask","hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\SchemaExportTask.java",191
2179,129,145,9,145,149,2,4882,66,128,150,15,1,1,-9,0,31,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,8,25,8,0,0,0,10,47,2,0,1,5,0,"Exception","main(String[])","org.hibernate.tool.hbm2ddl.SchemaUpdate","hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\SchemaUpdate.java",145
2180,171,191,9,203,206,1,6057,39,167,207,28,1,1,-9,0,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,15,4,7,0,0,0,12,47,1,0,1,5,0,"Exception","execute()","org.hibernate.tool.hbm2ddl.SchemaUpdateTask","hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\SchemaUpdateTask.java",203
2181,257,262,1,262,268,1,7797,148,253,284,17,1,1,-9,0,25,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,"Exception","configure(MetadataBuilder,StandardServiceRegistry)","org.hibernate.tool.hbm2ddl.SchemaUpdateTask","hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\SchemaUpdateTask.java",262
2182,271,276,1,276,282,1,8189,148,253,284,17,1,1,-9,0,25,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,"Exception","configure(MetadataBuilder,StandardServiceRegistry)","org.hibernate.tool.hbm2ddl.SchemaUpdateTask","hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\SchemaUpdateTask.java",276
2183,69,81,9,81,85,2,3088,66,68,86,15,1,1,-9,0,31,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6,20,8,0,0,0,11,47,2,0,1,5,0,"Exception","main(String[])","org.hibernate.tool.hbm2ddl.SchemaValidator","hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\SchemaValidator.java",81
2184,116,137,14,149,152,1,4648,37,115,153,31,1,1,-9,0,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,11,0,7,0,0,0,15,47,1,0,1,5,0,"Exception","execute()","org.hibernate.tool.hbm2ddl.SchemaValidatorTask","hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\SchemaValidatorTask.java",149
2185,61,67,4,67,69,0,2033,5,49,75,17,1,1,-9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,2,0,0,0,0,0,"Exception","interpret(Object)","org.hibernate.tool.hbm2ddl.UniqueConstraintSchemaUpdateStrategy","hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\UniqueConstraintSchemaUpdateStrategy.java",67
2186,66,76,7,76,79,1,1986,79,65,86,18,1,1,-9,0,31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,6,0,0,0,0,0,1,0,0,0,0,0,"Exception","toFileWriter(File)","org.hibernate.tool.schema.internal.exec.ScriptTargetOutputToFile","hibernate-core\src\main\java\org\hibernate\tool\schema\internal\exec\ScriptTargetOutputToFile.java",76
