Filename,pre_release_bugs
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/expression/CaseLiteralExpression.java,1
hibernate-core/src/test/java/org/hibernate/dialect/SQLServer2005DialectTestCase.java,2
hibernate-core/src/test/java/org/hibernate/test/annotations/formula/FormulaWithColumnTypesTest.java,1
hibernate-core/src/main/java/org/hibernate/engine/spi/CollectionEntry.java,1
hibernate-core/src/main/java/org/hibernate/boot/registry/selector/internal/StrategySelectorImpl.java,1
hibernate-core/src/main/java/org/hibernate/boot/registry/selector/spi/StrategySelector.java,1
hibernate-testing/src/main/java/org/hibernate/testing/DialectChecks.java,1
hibernate-core/src/main/java/org/hibernate/loader/plan/build/internal/FetchStyleLoadPlanBuildingAssociationVisitationStrategy.java,1
hibernate-core/src/main/java/org/hibernate/sql/Template.java,1
hibernate-core/src/main/antlr/sql-gen.g,1
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseEntityRegionAccessStrategy.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/entity/SoccerTeam.java,1
hibernate-core/src/main/java/org/hibernate/tool/schema/extract/internal/InformationExtractorJdbcDatabaseMetaDataImpl.java,2
hibernate-core/src/test/java/org/hibernate/test/annotations/derivedidentities/bidirectional/OneToOneWithDerivedIdentityTest.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/cascade/multicircle/jpa/identity/EntityC.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/cascade/multicircle/nonjpa/identity/EntityB.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/collection/EnumSet.java,1
hibernate-ehcache/src/test/java/org/hibernate/test/cache/ehcache/functional/InsertedDataTest.java,1
hibernate-core/src/main/java/org/hibernate/engine/jdbc/internal/JdbcCoordinatorImpl.java,1
hibernate-osgi/src/test/resources/hibernate.cfg.xml,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/components/DefaultValueComponents.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/naturalid/Device.java,1
hibernate-core/src/test/java/org/hibernate/engine/jdbc/cursor/internal/StandardRefCursorSupportTest.java,1
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/TableSourceImpl.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/customtype/EnumTypeTest.java,1
hibernate-core/src/main/java/org/hibernate/dialect/Oracle8iDialect.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/cascade/multicircle/jpa/identity/EntityB.java,1
hibernate-core/src/test/java/org/hibernate/test/cache/SharedRegionTest.java,1
hibernate-core/src/main/java/org/hibernate/jpa/boot/spi/Bootstrap.java,2
hibernate-core/src/main/java/org/hibernate/type/EnumType.java,1
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/SearchedCaseNode.java,1
hibernate-core/src/test/java/org/hibernate/test/hql/CastNullSelectExpressionTest.java,1
hibernate-core/src/main/java/org/hibernate/cfg/AvailableSettings.java,1
hibernate-core/src/test/java/org/hibernate/test/enums/Person.java,1
hibernate-core/src/test/java/org/hibernate/test/schemaupdate/idbag/IdBagOwner.java,1
hibernate-core/src/main/java/org/hibernate/persister/walking/internal/EntityIdentifierDefinitionHelper.java,1
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/EnhancerTest.java,2
hibernate-core/src/test/java/org/hibernate/test/criteria/many_to_many/Customer.java,1
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/mapped/MappedSuperclassTestTask.java,1
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/InfinispanRegionFactory.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/cascade/multicircle/nonjpa/identity/EntityD.java,1
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseNaturalIdRegionAccessStrategy.java,1
hibernate-core/src/main/java/org/hibernate/cache/internal/RegionFactoryInitiator.java,1
hibernate-osgi/hibernate-osgi.gradle,1
hibernate-core/src/test/java/org/hibernate/test/bytecode/enhancement/lazy/HHH_10708/UnexpectedDeleteOneTestTask.java,2
hibernate-core/src/main/java/org/hibernate/loader/plan/exec/process/internal/EntityReferenceInitializerImpl.java,1
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/schemagen/SchemaScriptFileGenerationTest.java,1
hibernate-envers/src/main/java/org/hibernate/envers/internal/tools/Tools.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/naturalid/Account.java,1
hibernate-osgi/src/test/java/org/hibernate/osgi/test/client/AuditedDataPoint.java,1
hibernate-core/src/test/java/org/hibernate/jpa/test/beanvalidation/BeanValidationTest.java,1
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseTransactionalDataRegion.java,1
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/naturalid/Customer.java,1
hibernate-core/src/test/java/org/hibernate/test/loadplans/plans/LoadPlanStructureAssertionTest.java,1
hibernate-core/src/test/java/org/hibernate/jpa/test/beanvalidation/ValidTitle.java,1
hibernate-core/src/main/java/org/hibernate/dialect/CUBRIDDialect.java,1
hibernate-testing/src/main/java/org/hibernate/testing/logger/TriggerOnPrefixLogListener.java,1
hibernate-testing/src/main/java/org/hibernate/testing/logger/LoggerInspectionRule.java,1
hibernate-core/src/main/java/org/hibernate/dialect/TypeNames.java,1
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/PersistentAttributesHelper.java,1
hibernate-core/src/main/java/org/hibernate/query/criteria/internal/expression/SearchedCaseExpression.java,1
hibernate-envers/src/main/java/org/hibernate/envers/configuration/internal/metadata/AuditMetadataGenerator.java,1
hibernate-testing/src/main/java/org/hibernate/testing/cache/ReadWriteNaturalIdRegionAccessStrategy.java,1
hibernate-core/src/test/java/org/hibernate/test/annotations/formula/FormulaWithPartitionByTest.java,1
hibernate-core/src/main/java/org/hibernate/procedure/internal/AbstractParameterRegistrationImpl.java,1
hibernate-osgi/src/test/resources/META-INF/persistence.xml,1
hibernate-osgi/src/test/java/org/hibernate/osgi/test/OsgiIntegrationTest.java,3
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultRefreshEventListener.java,1
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/EntityEnhancer.java,1
hibernate-core/src/main/java/org/hibernate/dialect/HSQLDialect.java,1
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/PersistentAttributesEnhancer.java,1
hibernate-testing/src/main/java/org/hibernate/testing/cache/BaseGeneralDataRegion.java,1
